SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
524330,JAYANT AGRO ,B ,Q,188.50,190.25,187.00,187.75,187.00,190.00,38,833,156899.00,
524332,BCLIL       ,X ,Q,90.95,92.00,90.25,91.15,91.20,91.50,35,8604,783723.00,
524336,SH.HARI CHEM,X ,Q,22.00,23.00,22.00,23.00,23.00,22.10,4,350,7850.00,
524342,INDOBORAXC  ,X ,Q,399.75,399.75,380.05,385.40,385.25,390.00,27,1476,575162.00,
524348,AARTI DRUGS ,B ,Q,545.00,545.00,520.00,531.85,533.00,548.45,300,2837,1513762.00,
524370,BODAL CHEM  ,B ,Q,106.65,107.15,102.05,106.50,106.50,106.30,315,18413,1941723.00,
524372,ORCHIDPHAR  ,Z ,Q,5.88,6.04,5.88,5.88,5.88,6.18,16,18909,111314.00,
524394,VIMTA LABS  ,B ,Q,185.65,187.70,182.50,183.10,183.00,185.00,21,433,80230.00,
524404,MARKSANS    ,B ,Q,21.35,21.35,21.00,21.05,21.05,21.40,219,72386,1528102.00,
524412,AAREY DRUGS ,X ,Q,23.50,23.85,22.15,23.45,23.50,22.85,85,10296,239260.00,
524414,NORRIS MEDI.,XT,Q,5.71,5.90,5.71,5.90,5.90,5.90,4,1420,8125.00,
524440,CAMEX LTD   ,X ,Q,28.95,28.95,28.95,28.95,28.95,27.75,1,1,28.00,
524444,KAVITIND    ,X ,Q,47.10,48.95,42.50,43.65,43.65,45.05,147,35368,1572794.00,
524470,SYNCOM FORM.,X ,Q,1.01,1.01,0.96,0.98,0.97,0.98,235,493833,480562.00,
524480,RIDHI SIDHI ,XT,Q,276.10,284.40,276.00,284.40,284.40,277.00,9,152,42796.00,
524488,SVCIND      ,XT,Q,1.28,1.28,1.28,1.28,1.28,1.22,7,15668,20055.00,
524494,IPCA LAB LTD,A ,Q,938.00,940.50,930.55,935.35,932.00,936.45,303,3297,3085279.00,
524500,KILITCH DRUG,B ,Q,164.05,169.50,164.05,167.15,167.80,167.55,139,7587,1270425.00,
524506,CORAL LAB.  ,X ,Q,254.00,254.90,225.00,228.35,229.95,246.75,113,2142,502707.00,
524518,KREBS BIOCHM,B ,Q,86.25,86.25,84.05,84.05,84.05,89.70,2,100,8515.00,
524520,KMC SHIL    ,X ,Q,12.00,12.50,10.25,10.73,11.14,12.24,282,105455,1164569.00,
524522,LAFFANS PETR,X ,Q,14.50,14.50,14.15,14.50,14.50,14.80,5,1301,18588.00,
524534,BHASKAR AGRO,XT,Q,19.05,19.05,18.10,19.00,19.00,19.05,5,374,7096.00,
524542,SUKJIT STRCH,X ,Q,242.00,242.00,238.00,238.05,238.00,234.40,20,627,149511.00,
524558,NEULAND LAB.,B ,Q,572.60,578.00,560.00,563.25,578.00,572.45,18,66,37199.00,
524570,PODDAR PIGM.,B ,Q,169.10,169.10,165.00,167.55,167.55,173.75,8,29,4896.00,
524576,VIVID IND   ,X ,Q,30.60,30.60,27.55,27.70,28.00,29.30,45,8176,231789.00,
524580,PRIYA LTD.  ,X ,Q,23.50,23.50,23.50,23.50,23.50,23.50,1,25,587.00,
524582,TIRUPATI STA,XT,Q,32.55,32.55,32.50,32.50,32.50,32.90,3,60,1950.00,
524594,ASHOK-ALCO  ,X ,Q,42.75,45.00,39.55,43.40,43.40,42.95,62,2790,116000.00,
524598,AKSHARCHEM I,B ,Q,291.90,297.40,285.20,294.30,297.40,293.40,28,30299,8652034.00,
524610,RATHI GRAPH.,X ,Q,2.47,2.47,2.47,2.47,2.47,2.60,2,2,4.00,
524634,ALU FLUORIDE,X ,Q,100.85,100.85,98.00,99.45,99.45,98.90,48,2681,264475.00,
524640,ARCHITORG   ,X ,Q,9.80,9.80,8.35,8.54,8.50,8.93,68,43264,384302.00,
524648,INDO AMINES ,X ,Q,79.35,80.05,79.00,79.30,79.00,79.05,45,3383,268376.00,
524652,IND.SWIFT LT,T ,Q,4.46,4.46,4.46,4.46,4.46,4.65,1,250,1115.00,
524654,NATURAL CAPS,X ,Q,57.00,57.00,57.00,57.00,57.00,57.00,1,100,5700.00,
524663,BH.IMMUN&BIO,B ,Q,7.60,7.99,7.60,7.72,7.66,7.73,23,8150,62882.00,
524667,SOTL        ,B ,Q,1203.05,1221.70,1203.05,1214.90,1214.70,1237.55,9,22,26673.00,
524669,HESTER BISC ,B ,Q,1870.05,1870.05,1826.05,1853.40,1858.00,1899.90,40,310,576792.00,
524675,KABSONS INDU,XT,Q,3.40,3.40,3.40,3.40,3.40,3.40,1,100,340.00,
524687,BASANT AGRO ,X ,Q,3.63,3.65,3.45,3.47,3.49,3.52,39,43712,152966.00,
524689,PARENT.DRUGS,B ,Q,5.50,6.09,5.40,5.90,6.00,6.00,9,2141,12244.00,
524699,KILBURN CHEM,XT,Q,29.80,29.80,27.00,29.75,29.75,28.40,13,655,17768.00,
524703,SANDU PHARMA,X ,Q,19.60,21.35,19.50,21.35,21.35,22.00,3,101,1976.00,
524709,NACLIND     ,B ,Q,30.35,30.95,29.55,29.80,30.75,31.85,29,1246,37718.00,
524711,VISTA PHARMA,XT,Q,13.80,14.60,13.80,14.60,14.60,13.95,29,8795,127595.00,
524715,SUN PHARMA. ,A ,Q,390.00,394.90,376.85,392.35,392.35,390.10,6968,596609,230932560.00,
524717,TITAN BIOTEC,X ,Q,41.30,41.30,39.35,40.40,40.40,39.35,12,1110,44898.00,
524731,JENBURKT PH.,X ,Q,520.20,527.90,520.20,521.45,521.10,520.35,32,1230,643600.00,
524735,HIKAL LTD.  ,B ,Q,163.75,166.80,163.00,165.55,165.55,164.25,125,5894,970188.00,
524742,CAPLIN POINT,B ,Q,440.00,446.60,418.10,422.70,420.50,429.80,412,5470,2358083.00,
524748,LINK PHARMA ,X ,Q,13.40,14.95,13.25,13.25,13.25,14.70,51,11152,150224.00,
524752,COMBAT DRUGS,XT,Q,21.50,21.50,21.50,21.50,21.50,22.60,1,300,6450.00,
524758,WINTAC LTD  ,X ,Q,194.00,219.90,184.00,200.00,200.00,190.80,11,715,151865.00,
524764,NUTRA       ,X ,Q,13.70,13.95,11.45,11.45,11.45,14.30,398,119149,1410806.00,
524774,NGL FINE CHM,X ,Q,548.00,548.00,531.25,540.75,539.95,549.85,57,1402,749374.00,
524790,EVEREST ORG.,X ,Q,159.05,169.00,158.05,162.85,164.00,167.05,38,1309,212109.00,
524804,AUROB.PHARMA,A ,Q,638.00,638.00,603.30,616.30,616.30,636.65,8068,360427,221275916.00,
524808,PHYTOCHEM I.,X ,Q,19.15,22.95,19.15,22.90,22.90,22.15,5,96,2162.00,
524816,NATCO PHARM ,A ,Q,538.00,538.00,527.50,533.75,535.00,539.80,582,309089,165344029.00,
524818,DYNAMIC IND.,X ,Q,77.00,77.95,72.30,75.00,75.00,72.90,11,238,18029.00,
524820,PANAMA PETRO,B ,Q,102.95,102.95,102.95,102.95,102.95,101.10,1,10,1029.00,
524824,BAL PHARMA  ,B ,Q,61.00,61.30,59.50,59.85,59.80,61.05,27,3155,191210.00,
524828,BDH INDUS.  ,XT,Q,66.95,68.90,66.50,66.50,66.50,67.00,6,2026,135590.00,
526027,CUBEX TUBING,B ,Q,12.34,12.34,12.34,12.34,12.34,11.22,7,425,5244.00,
526043,POLYMECH.MCH,X ,Q,28.05,33.00,28.05,31.70,33.00,30.00,24,2872,85620.00,
526073,GALAXY BEAR.,XT,Q,160.00,164.90,160.00,164.90,164.90,157.05,11,182,29248.00,
526093,SATVAH.ISPAT,T ,Q,7.70,8.40,7.70,8.40,8.40,8.10,6,810,6244.00,
526113,UNIROYAL MAR,XT,Q,6.70,6.70,6.70,6.70,6.70,7.00,4,700,4690.00,
526117,SHERVANI IND,X ,Q,565.00,579.40,555.05,574.30,575.00,571.85,64,306,173603.00,
526137,SHETRON LTD ,X ,Q,24.30,25.00,24.20,24.30,24.20,25.45,9,485,11794.00,
526139,TRANSGENE BI,XT,Q,3.87,3.87,3.65,3.66,3.70,3.84,19,10280,37745.00,
526143,MPL         ,XT,Q,5.60,5.60,5.60,5.60,5.60,5.89,1,100,560.00,
526159,NIKHIL ADHSV,X ,Q,157.00,157.00,157.00,157.00,157.00,160.00,1,1,157.00,
526161,SPENTA INT. ,X ,Q,67.35,70.70,67.35,69.10,69.10,74.80,22,1133,79125.00,
526169,MULTIBASE I ,X ,Q,239.30,240.10,221.05,226.35,226.35,239.30,368,20285,4659249.00,
526173,ANDREW YULE ,B ,Q,16.60,17.50,16.60,17.45,17.50,16.90,142,28787,494687.00,
526179,LUDOLOW JUTE,X ,Q,59.50,59.75,58.00,59.00,59.00,58.95,34,1765,104166.00,
526225,BLOOM DEKOR ,X ,Q,13.60,13.60,13.60,13.60,13.60,14.30,1,100,1360.00,
526227,FILATEX INDI,B ,Q,39.90,40.25,39.60,39.70,40.20,39.85,100,16711,664197.00,
526231,STD.SURFACT.,XT,Q,13.65,13.85,13.65,13.85,13.85,14.20,7,603,8335.00,
526235,MERCATOR    ,B ,Q,1.63,1.63,1.63,1.63,1.63,1.71,45,278924,454646.00,
526241,AMRAPALI IND,X ,Q,3.93,4.07,3.93,4.07,4.07,4.13,2,112,455.00,
526247,PREMIER EXPL,B ,Q,202.00,202.00,198.00,198.05,198.05,206.25,11,143,28593.00,
526263,MOLD-TEK TEC,B ,Q,57.00,57.00,57.00,57.00,57.00,54.50,1,1,57.00,
526269,CRESTCHEM LT,XT,Q,15.50,15.50,15.50,15.50,15.50,15.50,4,200,3100.00,
526299,MPHASIS LTD ,A ,Q,985.00,985.00,950.15,955.85,955.85,977.15,719,3132,3014535.00,
526301,MEDINOVA DIA,XT,Q,15.50,16.17,15.50,15.56,15.56,15.40,4,151,2347.00,
526315,DIVYA.GRANIT,X ,Q,80.60,80.60,80.60,80.60,80.60,80.60,1,2,161.00,
526325,ORIENT PRESS,B ,Q,160.00,162.10,145.50,162.10,162.10,163.00,9,287,46024.00,
526355,DURO PACK   ,XT,Q,14.70,15.96,14.44,14.44,14.44,15.20,4,528,7912.00,
526367,GANESH HSG. ,B ,Q,52.40,52.95,51.35,52.30,51.55,52.95,47,2620,137031.00,
526371,NMDC LTD    ,A ,Q,106.85,108.85,106.00,106.70,106.70,105.80,1980,266861,28725780.00,
526381,PAT INT LOG ,B ,Q,45.00,45.00,42.00,43.30,42.00,44.30,179,11097,483344.00,
526397,ALPHAGEO (I),B ,Q,441.50,449.95,430.00,436.95,430.15,441.25,85,349,153820.00,
526407,RIT PRO IND ,X ,Q,19.95,19.95,17.05,18.95,18.95,18.20,4,173,3092.00,
